"weekday","hightemp","lowtemp","precip_rain","precip_snow","count","time"
"Friday",78.1,66,0.01,0,4,1
"Saturday",55,48.9,0.15,0,2,2
"Sunday",39.9,34,0.09,0,1,3
"Monday",44.1,33.1,0,0.47,1,4
"Tuesday",42.1,26.1,0,0,3,5
"Wednesday",45,30,0,0,3,6
"Thursday",57,53.1,0.09,0,3,7
"Friday",46.9,44.1,0.01,0,4,8
"Saturday",43,37.9,0.09,0,1,9
"Sunday",48.9,30.9,0,0,3,10
"Monday",62.1,46,0.01,0,4,11
"Tuesday",57,45,0.2,0,2,12
"Wednesday",57,39.9,0,0,5,13
"Thursday",62.1,44.6,0,0,6,14
"Friday",64,44.1,0,0,5,15
"Saturday",66,45,0,0,5,16
"Sunday",73.9,46,0,0,5,17
"Monday",81,52,0,0,7,18
"Tuesday",71.1,63,0,0,7,19
"Wednesday",68,50,0,0,7,20
"Thursday",71.1,50,0,0,7,21
"Friday",78.1,63,0,0,6,22
"Saturday",70,61,0.16,0,4,23
"Sunday",68,48,0,0,5,24
"Monday",66.9,54,0,0,6,25
"Tuesday",60.1,46.9,0.24,0,4,26
"Wednesday",62.1,46.9,0,0,6,27
"Thursday",57.9,48,0,0,5,28
"Friday",57,46.9,0.05,0,5,29
"Saturday",64,48,0,0,5,30
"Sunday",50,45,0.16,0,2,31
"Monday",59,46,0.04,0,4,32
"Tuesday",54,51.1,0.61,0,2,33
"Wednesday",51.1,48.9,0.01,0,3,34
"Thursday",57,46.9,0,0,4,35
"Friday",53.1,48,0.54,0,2,36
"Saturday",57.9,48.9,0,0,3,37
"Sunday",64.9,50,0.16,0,3,38
"Monday",72,55,0,0,7,39
"Tuesday",62.1,51.1,0,0,7,40
"Wednesday",73.9,53.1,0,0,8,41
"Thursday",79,57.9,0,0,8,42
"Friday",64.9,60.1,0.25,0,4,43
"Saturday",71.6,60.8,0,0,5,44
"Sunday",57.2,50,0,0,3,45
"Monday",66.2,46.4,0,0,5,46
"Tuesday",64.4,55.4,0,0,6,47
"Wednesday",68,53.6,0,0,6,48
"Thursday",71.1,57,0,0,7,49
"Friday",75,55,0,0,7,50
"Saturday",66,55,0.04,0,3,51
"Sunday",69.1,53.1,0.09,0,4,52
"Monday",77,57.9,0.02,0,7,53
"Tuesday",73,59,0.18,0,4,54
"Wednesday",87.1,64,0,0,8,55
"Thursday",89.1,71.1,0,0,8,56
"Friday",86,75,0,0,7,57
"Saturday",90,72,0,0,5,58
"Sunday",86,73,0,0,4,59
"Monday",79,68,1.65,0,3,60
"Tuesday",84.9,72,0,0,7,61
"Wednesday",82,71.1,0,0,9,62
"Thursday",75.9,63,0,0,8,63
"Friday",70,64,0.04,0,4,64
"Saturday",82.9,66.9,0.4,0,6,65
"Sunday",70,64.9,0.91,0,2,66
